pip_deg,jt_00,jt_01,jt_02,jt_03,jt_10,jt_11,jt_12,jt_13,jt_20,jt_21,jt_22,jt_23
0.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041554279,-0.041554279,0.000000000,0.041554279
1.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041165479,-0.041165479,0.000000000,0.041165479
2.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040823195,-0.040823195,0.000000000,0.040823195
3.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040521170,-0.040521170,0.000000000,0.040521170
4.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040254281,-0.040254281,0.000000000,0.040254281
5.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040018283,-0.040018283,0.000000000,0.040018283
6.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039809633,-0.039809633,0.000000000,0.039809633
7.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039625343,-0.039625343,0.000000000,0.039625343
8.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039462876,-0.039462876,0.000000000,0.039462876
9.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039320062,-0.039320062,0.000000000,0.039320062
10.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039195033,-0.039195033,0.000000000,0.039195033
11.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039086169,-0.039086169,0.000000000,0.039086169
12.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038992061,-0.038992061,0.000000000,0.038992061
13.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038911473,-0.038911473,0.000000000,0.038911473
14.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038843318,-0.038843318,0.000000000,0.038843318
15.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038786633,-0.038786633,0.000000000,0.038786633
16.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038740564,-0.038740564,0.000000000,0.038740564
17.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038704347,-0.038704347,0.000000000,0.038704347
18.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038677297,-0.038677297,0.000000000,0.038677297
19.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038658796,-0.038658796,0.000000000,0.038658796
20.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038648287,-0.038648287,0.000000000,0.038648287
21.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038645261,-0.038645261,0.000000000,0.038645261
22.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038649256,-0.038649256,0.000000000,0.038649256
23.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038659847,-0.038659847,0.000000000,0.038659847
24.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038676641,-0.038676641,0.000000000,0.038676641
25.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038699278,-0.038699278,0.000000000,0.038699278
26.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038727419,-0.038727419,0.000000000,0.038727419
27.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038760749,-0.038760749,0.000000000,0.038760749
28.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038798972,-0.038798972,0.000000000,0.038798972
29.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038841809,-0.038841809,0.000000000,0.038841809
30.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038888992,-0.038888992,0.000000000,0.038888992
31.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038940268,-0.038940268,0.000000000,0.038940268
32.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.038995391,-0.038995391,0.000000000,0.038995391
33.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039054127,-0.039054127,0.000000000,0.039054127
34.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039116244,-0.039116244,0.000000000,0.039116244
35.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039181518,-0.039181518,0.000000000,0.039181518
36.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039249727,-0.039249727,0.000000000,0.039249727
37.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039320652,-0.039320652,0.000000000,0.039320652
38.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039394076,-0.039394076,0.000000000,0.039394076
39.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039469780,-0.039469780,0.000000000,0.039469780
40.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039547545,-0.039547545,0.000000000,0.039547545
41.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039627151,-0.039627151,0.000000000,0.039627151
42.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039708371,-0.039708371,0.000000000,0.039708371
43.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039790978,-0.039790978,0.000000000,0.039790978
44.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039874737,-0.039874737,0.000000000,0.039874737
45.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.039959409,-0.039959409,0.000000000,0.039959409
46.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040044746,-0.040044746,0.000000000,0.040044746
